"Time","Packed_OW1","Packed_RGB","Packed_OW2","Packed_KEG"
2025-08-27 10:00:00,,106,,
2025-08-27 11:00:00,,97.6,,
2025-08-27 12:00:00,115,90.5,,
2025-08-27 13:00:00,158,114,49,
2025-08-27 14:00:00,151,76.7,102,
2025-08-27 15:00:00,201,109,120,
2025-08-27 16:00:00,60.0,124,109,
2025-08-27 17:00:00,56,93.6,83,
2025-08-27 18:00:00,206,117,39,
2025-08-27 19:00:00,198,53.3,86,
2025-08-27 20:00:00,203,0,125,
2025-08-27 21:00:00,222,,69,
2025-08-27 22:00:00,201,0,68,
2025-08-27 23:00:00,200,0,130,
2025-08-28 00:00:00,181,0,108,
2025-08-28 01:00:00,212,0,125,
2025-08-28 02:00:00,44,0,128,
2025-08-28 03:00:00,105,0,117,
2025-08-28 04:00:00,137,0,86,
2025-08-28 05:00:00,207,0,110,
2025-08-28 06:00:00,26,0,103,
2025-08-28 07:00:00,165,26.4,111,
2025-08-28 08:00:00,141,80.1,80,
2025-08-28 09:00:00,75,84.0,1,0
2025-08-28 10:00:00,114,82.9,55,0
2025-08-28 11:00:00,198,91.2,121,0
2025-08-28 12:00:00,163,127,92,0
2025-08-28 13:00:00,187,118,89,0
2025-08-28 14:00:00,202,103,91,0
2025-08-28 15:00:00,171,17.3,113,0
2025-08-28 16:00:00,195,84.9,1,0
2025-08-28 17:00:00,161,81.4,30,0
2025-08-28 18:00:00,221,78.6,74,0
2025-08-28 19:00:00,214,96.4,106,0
2025-08-28 20:00:00,222,0,69,0
2025-08-28 21:00:00,202,,52,0
2025-08-28 22:00:00,203,0,0,0
2025-08-28 23:00:00,179,0,102,0
2025-08-29 00:00:00,205,0,101,0
2025-08-29 01:00:00,223,0,68,0
2025-08-29 02:00:00,198,0,86,0
2025-08-29 03:00:00,222,0,112,0
2025-08-29 04:00:00,223,0,115,0
2025-08-29 05:00:00,189,0,75,0
2025-08-29 06:00:00,219,0,18,0
2025-08-29 07:00:00,190,17.9,1,0
2025-08-29 08:00:00,202,111,6,0
2025-08-29 09:00:00,222,62.5,103,0
2025-08-29 10:00:00,207,92.3,129,0
2025-08-29 11:00:00,221,94.1,113,0
2025-08-29 12:00:00,185,109,118,0
2025-08-29 13:00:00,185,109,121,0
2025-08-29 14:00:00,208,65.6,110,0
2025-08-29 15:00:00,198,61.5,112,0
2025-08-29 16:00:00,218,120,125,0
2025-08-29 17:00:00,214,71.2,120,0
2025-08-29 18:00:00,170,112,109,0
2025-08-29 19:00:00,220,,105,0
2025-08-29 20:00:00,210,0,110,0
2025-08-29 21:00:00,190,0,100,0
2025-08-29 22:00:00,210,0,101,0
2025-08-29 23:00:00,210,0,120,0
2025-08-30 00:00:00,200,0,105,0
