"Time","BBT 111 Average Plato","BBT 112 Average Plato","BBT 121 Average Plato","BBT 132 Average Plato","BBT 211 Average Plato","BBT 212 Average Plato","BBT 221 Average Plato","BBT 222 Average Plato","BBT 231 Average Plato","BBT 232 Average Plato","BBT 241 Average Plato","BBT 242 Average Plato","FST 111 Average Plato","FST 112 Average Plato","FST 121 Average Plato","FST 122 Average Plato","FST 131 Average Plato","FST 132 Average Plato","FST 141 Average Plato","FST 142 Average Plato","FST 151 Average Plato","FST 152 Average Plato","FST 161 Average Plato","FST 171 Average Plato","FST 172 Average Plato","FST 211 Average Plato","FST 212 Average Plato","FST 221 Average Plato","FST 222 Average Plato","FST 231 Average Plato","FST 232 Average Plato","FST 241 Average Plato","FST 242 Average Plato","FST 243 Average Plato","RBT 251 Average Plato","RBT 252 Average Plato","BBT111 Level","BBT112 Level","BBT121 Level","BBT132 Level","BBT211 Level","BBT212 Level","BBT221 Level","BBT222 Level","BBT231 Level","BBT232 Level","BBT241 Level","BBT242 Level","BBT251 Level","BBT252 Level","FST111 Level ","FST112 Level ","FST121 Level ","FST122 Level ","FST131 Level ","FST132 Level ","FST141 Level ","FST142 Level ","FST151 Level ","FST152 Level ","FST161 Level ","FST171 Level ","FST172 Level ","FST211 Level ","FST212 Level ","FST221 Level ","FST222 Level ","FST231 Level ","FST232 Level ","FST241 Level ","FST242 Level ","FST243 Level ","BBT111 Material","counter.last { tag_name: BBT111 MaterialVOB }","BBT112 Material","BBT121 Material","BBT132 Material","BBT211 Material","BBT212 Material","BBT221 Material","BBT222 Material","BBT231 Material","BBT232 Material","BBT241 Material","BBT242 Material","FST111 Material","FST112 Material","FST121 Material","FST122 Material","FST131 Material","FST132 Material","FST141 Material","FST142 Material","FST151 Material","FST152 Material","FST161 Material","FST171 Material","FST172 Material","FST211 Material","FST212 Material","FST221 Material","FST222 Material","FST231 Material","FST232 Material","FST241 Material","FST242 Material","FST243 Material","RBT251 Material","RBT252 Material","Pozzo 2","Pozzo 3","Pozzo 4","Pozzo 5","Pozzo 6","Thermal"
2025-10-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.80,17.30,13.40,17.70,21.72,60.00
2025-10-26 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.40,17.40,13.60,17.80,21.78,60.00
2025-10-27 23:00:00,11.26,10.63,10.67,10.66,10.68,10.68,10.65,10.68,10.68,10.58,10.59,11.18,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,16.25,16.62,16.60,17.24,17.36,17.13,17.34,16.89,17.16,14.86,16.55,17.31,17.37,16.02,14.35,11.95,6.66,19.67,5.41,6.88,6.51,7.26,3.29,6.82,2.18,5.01,1.18,-7.79,6.80,0.00,0.00,0.00,1850.55,0.00,0.00,1143.31,1844.05,1809.39,0.00,0.00,0.00,1879.64,3724.62,5524.03,0.00,5550.89,5607.03,1260.89,0.00,0.00,5541.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,9.00,7.00,7.00,0.00,0.00,0.00,7.00,7.00,8.00,0.00,8.00,7.00,10.00,0.00,0.00,10.00,0.00,0.00,16.10,17.60,13.60,17.90,21.91,60.00
2025-10-28 23:00:00,11.26,10.63,10.67,10.66,10.68,10.68,10.65,10.68,10.68,10.58,10.59,11.18,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,16.25,16.62,16.60,17.24,17.36,17.13,17.34,16.89,17.16,14.86,16.55,17.31,17.37,17.12,14.35,11.95,6.66,19.67,5.41,6.88,6.51,7.26,3.29,6.82,2.18,5.01,1.18,96.80,6.80,0.00,0.00,0.00,1850.55,0.00,0.00,1143.31,1844.05,1809.39,0.00,0.00,0.00,1879.64,3724.62,5274.90,0.00,5550.89,5607.03,1260.89,0.00,0.00,5541.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,9.00,7.00,7.00,0.00,0.00,0.00,7.00,7.00,8.00,0.00,8.00,7.00,10.00,0.00,0.00,10.00,0.00,0.00,16.50,18.00,14.00,18.50,22.59,60.00
2025-10-29 23:00:00,11.26,10.63,10.67,10.66,10.68,10.68,10.65,10.68,10.68,10.58,10.59,11.18,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,16.25,16.62,16.60,17.24,17.36,17.13,17.34,16.89,17.16,14.86,16.55,17.31,17.37,14.13,14.35,11.95,6.66,19.67,5.41,6.88,6.51,7.26,3.29,6.82,2.18,5.01,1.18,196.50,6.80,0.00,0.00,0.00,1850.55,0.00,0.00,1143.31,1844.05,1809.39,0.00,0.00,0.00,1879.64,3724.62,5274.90,0.00,5377.78,5607.03,1260.89,0.00,0.00,5347.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,9.00,7.00,7.00,0.00,0.00,0.00,7.00,7.00,8.00,0.00,8.00,7.00,10.00,0.00,0.00,10.00,36.00,0.00,15.30,16.80,13.00,17.60,23.22,60.00
2025-10-30 23:00:00,11.26,10.63,10.67,10.66,10.68,10.68,10.65,10.68,10.68,10.58,10.59,11.18,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,16.25,16.62,16.60,17.24,17.36,17.13,17.34,16.89,17.16,14.86,16.55,17.31,17.37,14.13,14.35,11.95,6.66,19.67,5.41,6.88,6.51,7.26,3.29,6.82,2.18,5.01,1.18,196.50,6.80,0.00,0.00,0.00,1850.55,0.00,0.00,1143.31,1844.05,1809.39,0.00,0.00,0.00,1879.64,3724.62,5274.90,0.00,5377.78,5607.03,1260.89,0.00,0.00,5347.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,9.00,7.00,7.00,0.00,0.00,0.00,7.00,7.00,8.00,0.00,8.00,7.00,10.00,0.00,0.00,10.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
2025-10-31 23:00:00,11.26,10.63,10.67,10.66,10.68,10.68,10.65,10.68,10.68,10.58,10.59,11.18,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,16.25,16.62,16.60,17.24,17.36,17.13,17.34,16.89,17.16,14.86,16.55,17.31,17.37,14.13,14.35,11.95,6.66,19.67,5.41,6.88,6.51,7.26,3.29,6.82,2.18,5.01,1.18,196.50,6.80,0.00,0.00,0.00,1850.55,0.00,0.00,1143.31,1844.05,1809.39,0.00,0.00,0.00,1879.64,3724.62,5274.90,0.00,5377.78,5607.03,1260.89,0.00,0.00,5347.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,9.00,7.00,7.00,0.00,0.00,0.00,7.00,7.00,8.00,0.00,8.00,7.00,10.00,0.00,0.00,10.00,36.00,0.00,16.90,18.30,14.30,18.80,23.00,60.00
2025-11-01 23:00:00,11.26,10.63,10.67,10.66,10.68,10.68,10.65,10.68,10.68,10.58,10.59,11.18,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,16.25,16.62,16.60,17.24,17.36,17.13,17.34,16.89,17.16,14.86,16.55,17.31,17.37,14.13,14.35,11.95,6.66,19.67,5.41,6.88,6.51,7.26,3.29,6.82,2.18,5.01,1.18,196.50,6.80,0.00,0.00,0.00,1850.55,0.00,0.00,1143.31,1844.05,1809.39,0.00,0.00,0.00,1879.64,3724.62,5274.90,0.00,5377.78,5607.03,1260.89,0.00,0.00,5347.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,9.00,7.00,7.00,0.00,0.00,0.00,7.00,7.00,8.00,0.00,8.00,7.00,10.00,0.00,0.00,10.00,36.00,0.00,20.10,21.90,16.90,22.60,27.50,60.00
2025-11-02 23:00:00,10.65,10.63,10.67,10.66,10.68,10.69,10.66,0.00,10.68,10.58,10.59,11.18,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,16.25,16.62,16.60,17.24,17.36,17.13,17.14,16.89,17.16,14.86,16.55,17.31,17.37,14.13,13.81,1286.00,6.66,19.67,5.41,716.14,685.64,780.00,0.00,6.82,2.18,5.01,1.18,-1.60,105.00,0.00,0.00,0.00,1850.55,0.00,0.00,1143.31,1844.05,1809.39,0.00,0.00,0.00,1879.64,2175.52,5274.90,1499.49,5266.31,5607.03,591.15,0.00,0.00,5347.69,1.00,0.00,1.00,1.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,9.00,7.00,7.00,0.00,0.00,0.00,7.00,7.00,8.00,7.00,8.00,7.00,10.00,0.00,0.00,10.00,0.00,0.00,203.30,220.60,165.70,230.20,278.78,60.00
2025-11-03 23:00:00,10.66,11.30,11.12,11.11,10.68,10.69,10.64,10.67,0.00,10.68,10.66,10.63,17.19,16.79,15.72,17.44,16.68,17.62,15.68,16.95,17.19,16.25,16.62,16.60,17.24,17.36,17.13,17.19,16.89,17.16,14.86,16.55,17.35,17.37,14.13,10.93,895.30,126.24,2380.37,2270.74,770.00,-6.89,780.00,780.50,0.00,195.64,729.75,329.11,-1.60,320.01,0.00,0.00,0.00,767.93,0.00,0.00,634.21,1844.05,1800.05,0.00,0.00,0.00,1879.64,0.00,5179.15,5887.80,1322.33,5607.03,0.00,0.00,1190.60,5347.69,1.00,0.00,1.00,3.00,3.00,1.00,0.00,1.00,1.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,7.00,0.00,0.00,9.00,7.00,7.00,0.00,0.00,0.00,7.00,0.00,8.00,7.00,8.00,7.00,0.00,0.00,7.00,10.00,0.00,36.00,338.40,366.40,269.80,385.90,466.00,60.00
